ASIN,MARKETPLACE,REGION,BRAND_NAME,MAIN_CATEGORY,SUB_CATEGORY
B01MUSUMUS,SE,EU,Espring,Tools & Home Improvement,Building Supplies
B07F1WVSWR,DE,EU,H&S,Musical Instruments,"Guitars, Basses & Equipment"
B08LL98VSZ,NL,EU,Espring,Home & Kitchen,Bath
B08ZXPXKWK,ES,EU,Espring,Pet Supplies,Dogs
B07D25PJS4,ES,EU,H&S,Beauty & Personal Care,Shave & Hair Removal
B07T5CJDQ7,NL,EU,Espring,Home & Kitchen,Furniture
B00C13AZEK,FR,EU,H&S,Sports & Outdoors,Outdoor Recreation
B01IF2VW7O,PL,EU,Espring,Beauty & Personal Care,Makeup
B08N18QKFK,FR,EU,Espring,Office Products,Office & School Supplies
B01N1F59Q4,PL,EU,Espring,"Clothing, Shoes & Jewelry",Men
